"Substance name","Description","EC No.","CAS No.","Reason for inclusion","Date of inclusion","IUCLID dataset","Remarks"
"1,2-Benzenedicarboxylic acid, di-C6-10-alkyl esters","","271-094-0","68515-51-5","Toxic for reproduction (Article 57c)","15-Jun-2015","https://echa.europa.eu/documents/10162/0d1991c8-23cf-4779-9e08-b9208bd40338""""https://echa.europa.eu/documents/10162/f5495229-3f8c-4321-817c-dd498912310e",""
"Reaction mass of 2-ethylhexyl 10-ethyl-4,4-dioctyl-7-oxo-8-oxa-3,5-dithia-4-stannatetradecanoate and 2-ethylhexyl 10-ethyl-4-[[2-[(2-ethylhexyl)oxy]-2-oxoethyl]thio]-4-octyl-7-oxo-8-oxa-3,5-dithia-4-stannatetradecanoate (reaction mass of DOTE and MOTE)","","-","-","Toxic for reproduction (Article 57c)","17-Dec-2014","https://echa.europa.eu/documents/10162/371b4814-2cbd-429d-88b9-905c19d0d299",""
"Cadmium sulphate","","233-331-6","10124-36-4, 31119-53-6","Carcinogenic (Article 57a)""""Mutagenic (Article 57b)""""Toxic for reproduction (Article 57c)""""Specific target organ toxicity after repeated exposure (Article 57(f) - human health)","17-Dec-2014","https://echa.europa.eu/documents/10162/bbe26e5b-facf-4668-bc8c-38a175be4c62",""
"Sulfuric acid, cadmium salt (1:1), hydrate","","626-360-4","15244-35-6","Carcinogenic (Article 57a)""""Mutagenic (Article 57b)""""Toxic for reproduction (Article 57c)""""Specific target organ toxicity after repeated exposure (Article 57(f) - human health)","17-Dec-2014","https://echa.europa.eu/documents/10162/bbe26e5b-facf-4668-bc8c-38a175be4c62",""
"Sulfuric acid, cadmium salt, hydrate (3:3:8)","","616-572-5","7790-84-3","Carcinogenic (Article 57a)""""Mutagenic (Article 57b)""""Toxic for reproduction (Article 57c)""""Specific target organ toxicity after repeated exposure (Article 57(f) - human health)","17-Dec-2014","https://echa.europa.eu/documents/10162/bbe26e5b-facf-4668-bc8c-38a175be4c62",""
"Cadmium fluoride","","232-222-0","7790-79-6","Carcinogenic (Article 57a)""""Mutagenic (Article 57b)""""Toxic for reproduction (Article 57c)""""Specific target organ toxicity after repeated exposure (Article 57(f) - human health)","17-Dec-2014","https://echa.europa.eu/documents/10162/0bba6429-659f-448b-9623-c6737291a3b1",""
"2-ethylhexyl 10-ethyl-4,4-dioctyl-7-oxo-8-oxa-3,5-dithia-4-stannatetradecanoate (DOTE)","","239-622-4","15571-58-1","Toxic for reproduction (Article 57c)","17-Dec-2014","https://echa.europa.eu/documents/10162/0a3e8564-b077-46a7-a90e-2f59f458932f",""
"2-benzotriazol-2-yl-4,6-di-tert-butylphenol (UV-320)","","223-346-6","3846-71-7","PBT (Article 57d)""""vPvB (Article 57e)","17-Dec-2014","https://echa.europa.eu/documents/10162/96387d49-cb01-423c-bd6e-927a7b6c434f",""
"2-(2H-benzotriazol-2-yl)-4,6-ditertpentylphenol (UV-328)","","247-384-8","25973-55-1","PBT (Article 57d)""""vPvB (Article 57e)","17-Dec-2014","https://echa.europa.eu/documents/10162/0ca781ed-adf7-4d40-95b7-a7ea17543f5c",""
"Sodium peroxometaborate","","231-556-4","7632-04-4","Toxic for reproduction (Article 57c)","16-Jun-2014","https://echa.europa.eu/documents/10162/59b315b3-efb1-4ffa-b4bb-3c2c1259da45",""
"Sodium perborate, perboric acid, sodium salt","","-","-","Toxic for reproduction (Article 57c)","16-Jun-2014","https://echa.europa.eu/documents/10162/ec145926-d7d2-a584-9c82-e325a05367a3",""
"Perboric acid, sodium salt, tetrahydrate ()","","-","37244-98-7","Toxic for reproduction (Article 57c)","16-Jun-2014","https://echa.europa.eu/documents/10162/ec145926-d7d2-a584-9c82-e325a05367a3",""
"Perboric acid (HBO(O2)), sodium salt, tetrahydrate","","-","10486-00-7","Toxic for reproduction (Article 57c)","16-Jun-2014","https://echa.europa.eu/documents/10162/ec145926-d7d2-a584-9c82-e325a05367a3",""
"Sodium perborate monohydrate","","-","10332-33-9","Toxic for reproduction (Article 57c)","16-Jun-2014","https://echa.europa.eu/documents/10162/ec145926-d7d2-a584-9c82-e325a05367a3",""
"Perboric acid, sodium salt","","234-390-0","11138-47-9","Toxic for reproduction (Article 57c)","16-Jun-2014","https://echa.europa.eu/documents/10162/ec145926-d7d2-a584-9c82-e325a05367a3",""
"Sodium perborate","","239-172-9","15120-21-5","Toxic for reproduction (Article 57c)","16-Jun-2014","https://echa.europa.eu/documents/10162/ec145926-d7d2-a584-9c82-e325a05367a3",""
"Borate(2-), tetrahydroxybis[μ-(peroxy-κO1:κO2)]di-, sodium, hydrate (1:2:6)","","-","125022-34-6","Toxic for reproduction (Article 57c)","16-Jun-2014","https://echa.europa.eu/documents/10162/ec145926-d7d2-a584-9c82-e325a05367a3",""
"Borate(2-), tetrahydroxybis[μ-(peroxy-κO1:κO2)]di-, sodium (1:2)","","-","90568-23-3","Toxic for reproduction (Article 57c)","16-Jun-2014","https://echa.europa.eu/documents/10162/ec145926-d7d2-a584-9c82-e325a05367a3",""
"Perboric acid (H3BO2(O2)), monosodium salt, trihydrate","","-","13517-20-9","Toxic for reproduction (Article 57c)","16-Jun-2014","https://echa.europa.eu/documents/10162/ec145926-d7d2-a584-9c82-e325a05367a3",""
"Cadmium chloride","","233-296-7","10108-64-2","Carcinogenic (Article 57a)""""Mutagenic (Article 57b)""""Toxic for reproduction (Article 57c)""""Specific target organ toxicity after repeated exposure (Article 57(f) - human health)","16-Jun-2014","https://echa.europa.eu/documents/10162/a7d0fcf7-deb2-402e-af3b-c3b1759615f9",""
"cadmium chloride (CdCl2), hydrate (2:5)","","640-998-0","7790-78-5","Carcinogenic (Article 57a)""""Mutagenic (Article 57b)""""Toxic for reproduction (Article 57c)""""Specific target organ toxicity after repeated exposure (Article 57(f) - human health)","16-Jun-2014","https://echa.europa.eu/documents/10162/a7d0fcf7-deb2-402e-af3b-c3b1759615f9",""
"1,2-Benzenedicarboxylic acid, dihexyl ester, branched and linear","","271-093-5","68515-50-4","Toxic for reproduction (Article 57c)","16-Jun-2014","https://echa.europa.eu/documents/10162/4ffa71cf-34d5-4968-9b46-58d2398a211a",""
"Trixylyl phosphate","","246-677-8","25155-23-1","Toxic for reproduction (Article 57c)","16-Dec-2013","https://echa.europa.eu/documents/10162/e764d667-57dc-4956-8628-6245f36d5552",""
"Lead di(acetate)","","206-104-4","301-04-2","Toxic for reproduction (Article 57c)","16-Dec-2013","https://echa.europa.eu/documents/10162/86ace337-8153-47fb-b0b0-8193c621c433",""
"Imidazolidine-2-thione (2-imidazoline-2-thiol)","","202-506-9","96-45-7","Toxic for reproduction (Article 57c)","16-Dec-2013","https://echa.europa.eu/documents/10162/85a2311e-2252-4f8a-b987-451846cee286",""
"Disodium 4-amino-3-[[4'-[(2,4-diaminophenyl)azo][1,1'-biphenyl]-4-yl]azo] -5-hydroxy-6-(phenylazo)naphthalene-2,7-disulphonate (C.I. Direct Black 38)","","217-710-3","1937-37-7","Carcinogenic (Article 57a)","16-Dec-2013","https://echa.europa.eu/documents/10162/d04de1ae-26e0-45ac-969c-259a0cdd5338",""
"Disodium 3,3'-[[1,1'-biphenyl]-4,4'-diylbis(azo)]bis(4-aminonaphthalene-1-sulphonate) (C.I. Direct Red 28)","","209-358-4","573-58-0","Carcinogenic (Article 57a)","16-Dec-2013","https://echa.europa.eu/documents/10162/fd83a2e5-21ca-4ec4-a4d2-2465637f90c0",""
"Dihexyl phthalate","","201-559-5","84-75-3","Toxic for reproduction (Article 57c)","16-Dec-2013","https://echa.europa.eu/documents/10162/eecf78d5-f23d-44b0-a3db-0357c698ae4b",""
"Cadmium sulphide","","215-147-8","1306-23-6","Carcinogenic (Article 57a)""""Specific target organ toxicity after repeated exposure (Article 57(f) - human health)","16-Dec-2013","https://echa.europa.eu/documents/10162/f30a9a9a-9ce1-429e-96fb-7f24fe4de850",""
"Pentadecafluorooctanoic acid (PFOA)","","206-397-9","335-67-1","Toxic for reproduction (Article 57c)""""PBT (Article 57d)","20-Jun-2013","https://echa.europa.eu/documents/10162/facda3f9-a050-4f29-91f1-358175b67a39",""
"Dipentyl phthalate (DPP)","","205-017-9","131-18-0","Toxic for reproduction (Article 57c)","20-Jun-2013","https://echa.europa.eu/documents/10162/8a80cf7b-cce9-4152-89f4-e8ad58ce6fde",""
"Cadmium oxide","","215-146-2","1306-19-0","Carcinogenic (Article 57a)""""Specific target organ toxicity after repeated exposure (Article 57(f) - human health)","20-Jun-2013","https://echa.europa.eu/documents/10162/a03b1b4e-3090-455e-9cb0-1dc52005f7c0",""
"Monteponite (CdO)","","-","12139-21-8","Carcinogenic (Article 57a)""""Specific target organ toxicity after repeated exposure (Article 57(f) - human health)","20-Jun-2013","https://echa.europa.eu/documents/10162/a03b1b4e-3090-455e-9cb0-1dc52005f7c0",""
"Cadmium","","231-152-8","7440-43-9","Carcinogenic (Article 57a)""""Specific target organ toxicity after repeated exposure (Article 57(f) - human health)","20-Jun-2013","https://echa.europa.eu/documents/10162/b252eefb-8012-46bb-8a47-74ff66a0a8d4",""
"Ammonium pentadecafluorooctanoate (APFO)","","223-320-4","3825-26-1","Toxic for reproduction (Article 57c)""""PBT (Article 57d)","20-Jun-2013","https://echa.europa.eu/documents/10162/df602a5b-2df3-490f-ad1c-e2e782ad7dc9",""
"4-Nonylphenol, branched and linear, ethoxylated","substances with a linear and/or branched alkyl chain with a carbon number of 9 covalently bound in position 4 to phenol, ethoxylated covering UVCB- and well-defined substances, polymers and homologues, which include any of the individual isomers and/or combinations thereof","799-990-1","-","Endocrine disrupting properties (Article 57(f) - environment)","20-Jun-2013","https://echa.europa.eu/documents/10162/90d219f2-cd83-4e2b-bb9e-3ed6d5ff91bf",""
"14-(nonylphenoxy)-3,6,9,12-tetraoxatetradecan-1-ol","","247-555-7","26264-02-8","Endocrine disrupting properties (Article 57(f) - environment)","20-Jun-2013","https://echa.europa.eu/documents/10162/90d219f2-cd83-4e2b-bb9e-3ed6d5ff91bf",""
"23-(nonylphenoxy)-3,6,9,12,15,18,21-heptaoxatricosan-1-ol","","248-293-6","27177-05-5","Endocrine disrupting properties (Article 57(f) - environment)","20-Jun-2013","https://echa.europa.eu/documents/10162/90d219f2-cd83-4e2b-bb9e-3ed6d5ff91bf",""
"2-{2-[4-(3,6-dimethylheptan-3-yl)phenoxy]ethoxy}ethanol","","-","1119449-38-5","Endocrine disrupting properties (Article 57(f) - environment)","20-Jun-2013","https://echa.europa.eu/documents/10162/90d219f2-cd83-4e2b-bb9e-3ed6d5ff91bf",""
"Nonylphenol, ethoxylated","","500-024-6","9016-45-9","Endocrine disrupting properties (Article 57(f) - environment)","20-Jun-2013","https://echa.europa.eu/documents/10162/90d219f2-cd83-4e2b-bb9e-3ed6d5ff91bf",""
"2-[2-[2-[2-(4-nonylphenoxy)ethoxy]ethoxy]ethoxy]ethanol","","230-770-5","7311-27-5","Endocrine disrupting properties (Article 57(f) - environment)","20-Jun-2013","https://echa.europa.eu/documents/10162/90d219f2-cd83-4e2b-bb9e-3ed6d5ff91bf",""
"4-Nonylphenol, ethoxylated","1 - 2.5 moles ethoxylated","500-045-0","26027-38-3","Endocrine disrupting properties (Article 57(f) - environment)","20-Jun-2013","https://echa.europa.eu/documents/10162/90d219f2-cd83-4e2b-bb9e-3ed6d5ff91bf",""
"2-(nonylphenoxy)ethanol","","248-762-5","27986-36-3","Endocrine disrupting properties (Article 57(f) - environment)","20-Jun-2013","https://echa.europa.eu/documents/10162/90d219f2-cd83-4e2b-bb9e-3ed6d5ff91bf",""
"4-Nonylphenol, branched, ethoxylated","1 - 2.5 moles ethoxylated","500-315-8","127087-87-0","Endocrine disrupting properties (Article 57(f) - environment)","20-Jun-2013","https://echa.europa.eu/documents/10162/90d219f2-cd83-4e2b-bb9e-3ed6d5ff91bf",""
"26-(4-Nonylphenoxy)-3,6,9,12,15,18,21,24- octaoxahexacosan -1-ol","","-","14409-72-4","Endocrine disrupting properties (Article 57(f) - environment)","20-Jun-2013","https://echa.europa.eu/documents/10162/90d219f2-cd83-4e2b-bb9e-3ed6d5ff91bf",""
"2-[2-(nonylphenoxy)ethoxy]ethanol","","248-291-5","27176-93-8","Endocrine disrupting properties (Article 57(f) - environment)","20-Jun-2013","https://echa.europa.eu/documents/10162/90d219f2-cd83-4e2b-bb9e-3ed6d5ff91bf",""
"2-[2-(4-nonylphenoxy)ethoxy]ethanol","","243-816-4","20427-84-3","Endocrine disrupting properties (Article 57(f) - environment)","20-Jun-2013","https://echa.europa.eu/documents/10162/90d219f2-cd83-4e2b-bb9e-3ed6d5ff91bf",""
"20-(4-nonylphenoxy)-3,6,9,12,15,18-hexaoxaicosan-1-ol","","248-743-1","27942-27-4","Endocrine disrupting properties (Article 57(f) - environment)","20-Jun-2013","https://echa.europa.eu/documents/10162/90d219f2-cd83-4e2b-bb9e-3ed6d5ff91bf",""
"Nonylphenol, branched, ethoxylated","1 - 2.5 moles ethoxylated","500-209-1","68412-54-4","Endocrine disrupting properties (Article 57(f) - environment)","20-Jun-2013","https://echa.europa.eu/documents/10162/90d219f2-cd83-4e2b-bb9e-3ed6d5ff91bf",""
"2-[4-(3,6-dimethylheptan-3-yl)phenoxy]ethanol","","-","1119449-37-4","Endocrine disrupting properties (Article 57(f) - environment)","20-Jun-2013","https://echa.europa.eu/documents/10162/90d219f2-cd83-4e2b-bb9e-3ed6d5ff91bf",""
"Nonylphenolpolyglycolether","","-","-","Endocrine disrupting properties (Article 57(f) - environment)","20-Jun-2013","https://echa.europa.eu/documents/10162/90d219f2-cd83-4e2b-bb9e-3ed6d5ff91bf",""
"4-Nonylphenol, branched, ethoxylated","","-","127087-87-0","Endocrine disrupting properties (Article 57(f) - environment)","20-Jun-2013","https://echa.europa.eu/documents/10162/90d219f2-cd83-4e2b-bb9e-3ed6d5ff91bf",""
"Poly(oxy-1,2-ethanediyl), α-(nonylphenyl)-ω-hydroxy-","","-","9016-45-9","Endocrine disrupting properties (Article 57(f) - environment)","20-Jun-2013","https://echa.europa.eu/documents/10162/90d219f2-cd83-4e2b-bb9e-3ed6d5ff91bf",""
"2-(4-nonylphenoxy)ethanol","","-","104-35-8","Endocrine disrupting properties (Article 57(f) - environment)","20-Jun-2013","https://echa.europa.eu/documents/10162/90d219f2-cd83-4e2b-bb9e-3ed6d5ff91bf",""
"29-(nonylphenoxy)-3,6,9,12,15,18,21,24,27-nonaoxanonacosanol","","248-294-1","27177-08-8","Endocrine disrupting properties (Article 57(f) - environment)","20-Jun-2013","https://echa.europa.eu/documents/10162/90d219f2-cd83-4e2b-bb9e-3ed6d5ff91bf",""
"20-(nonylphenoxy)-3,6,9,12,15,18-hexaoxaicosan-1-ol","","248-292-0","27177-03-3","Endocrine disrupting properties (Article 57(f) - environment)","20-Jun-2013","https://echa.europa.eu/documents/10162/90d219f2-cd83-4e2b-bb9e-3ed6d5ff91bf",""
"26-(nonylphenoxy)-3,6,9,12,15,18,21,24-octaoxahexacosan-1-ol","","247-816-5","26571-11-9","Endocrine disrupting properties (Article 57(f) - environment)","20-Jun-2013","https://echa.europa.eu/documents/10162/90d219f2-cd83-4e2b-bb9e-3ed6d5ff91bf",""
"26-(nonylphenoxy)-3,6,9,12,15,18,21,24-octaoxahexacosan-1-ol;","","255-695-5","42173-90-0","Endocrine disrupting properties (Article 57(f) - environment)","20-Jun-2013","https://echa.europa.eu/documents/10162/90d219f2-cd83-4e2b-bb9e-3ed6d5ff91bf",""
"20-(isononylphenoxy)-3,6,9,12,15,18-hexaoxaicosan-1-ol","","265-785-6","65455-69-8","Endocrine disrupting properties (Article 57(f) - environment)","20-Jun-2013","https://echa.europa.eu/documents/10162/90d219f2-cd83-4e2b-bb9e-3ed6d5ff91bf",""
"3,6,9,12,15,18,21,24,27-Nonaoxanonacosan-1-ol, 29-(isononylphenoxy)-","","-","65455-72-3","Endocrine disrupting properties (Article 57(f) - environment)","20-Jun-2013","https://echa.europa.eu/documents/10162/90d219f2-cd83-4e2b-bb9e-3ed6d5ff91bf",""
"44-(nonylphenoxy)-3,6,9,12,15,18,21,24,27,30,33,36,39,42-tetradecaoxatetratetracontanol","","260-678-0","57321-10-5","Endocrine disrupting properties (Article 57(f) - environment)","20-Jun-2013","https://echa.europa.eu/documents/10162/90d219f2-cd83-4e2b-bb9e-3ed6d5ff91bf",""
"3,6,9,12,15-Pentaoxaheptadecan-1-ol, 17-(nonylphenoxy)-","","-","27177-01-1","Endocrine disrupting properties (Article 57(f) - environment)","20-Jun-2013","https://echa.europa.eu/documents/10162/90d219f2-cd83-4e2b-bb9e-3ed6d5ff91bf",""
"3,6,9,12-Tetraoxatetradecan-1-ol, 14-(4-nonylphenoxy)-","","-","20636-48-0","Endocrine disrupting properties (Article 57(f) - environment)","20-Jun-2013","https://echa.europa.eu/documents/10162/90d219f2-cd83-4e2b-bb9e-3ed6d5ff91bf",""
"4-t-Nonylphenol-diethoxylate","","-","156609-10-8","Endocrine disrupting properties (Article 57(f) - environment)","20-Jun-2013","https://echa.europa.eu/documents/10162/90d219f2-cd83-4e2b-bb9e-3ed6d5ff91bf",""
"Isononylphenol, ethoxylated","","-","37205-87-1","Endocrine disrupting properties (Article 57(f) - environment)","20-Jun-2013","https://echa.europa.eu/documents/10162/90d219f2-cd83-4e2b-bb9e-3ed6d5ff91bf",""
"17-(4-nonylphenoxy)-3,6,9,12,15-pentaoxaheptadecan-1-ol","","-","34166-38-6","Endocrine disrupting properties (Article 57(f) - environment)","20-Jun-2013","https://echa.europa.eu/documents/10162/90d219f2-cd83-4e2b-bb9e-3ed6d5ff91bf",""
"Nonylphenol, ethoxylated (polymer)","","-","-","Endocrine disrupting properties (Article 57(f) - environment)","20-Jun-2013","https://echa.europa.eu/documents/10162/90d219f2-cd83-4e2b-bb9e-3ed6d5ff91bf",""
"Nonylphenol, ethoxylated (EO = 4)","","-","-","Endocrine disrupting properties (Article 57(f) - environment)","20-Jun-2013","https://echa.europa.eu/documents/10162/90d219f2-cd83-4e2b-bb9e-3ed6d5ff91bf",""
"Nonylphenol, ethoxylated (EO = 10)","","-","-","Endocrine disrupting properties (Article 57(f) - environment)","20-Jun-2013","https://echa.europa.eu/documents/10162/90d219f2-cd83-4e2b-bb9e-3ed6d5ff91bf",""
"2-(isononylphenoxy)ethanol","","284-987-5","85005-55-6","Endocrine disrupting properties (Article 57(f) - environment)","20-Jun-2013","https://echa.europa.eu/documents/10162/90d219f2-cd83-4e2b-bb9e-3ed6d5ff91bf",""
"3,6,9,12-Tetraoxatetradecan-1-ol, 14-(4-nonylphenoxy)-, branched","","293-926-1","91648-64-5","Endocrine disrupting properties (Article 57(f) - environment)","20-Jun-2013","https://echa.europa.eu/documents/10162/90d219f2-cd83-4e2b-bb9e-3ed6d5ff91bf",""
"Nonylphenol, ethoxylated (6,5-EO)","","-","9016-45-9","Endocrine disrupting properties (Article 57(f) - environment)","20-Jun-2013","https://echa.europa.eu/documents/10162/90d219f2-cd83-4e2b-bb9e-3ed6d5ff91bf",""
"Nonylphenol, ethoxylated (8-EO)","","-","9016-45-9","Endocrine disrupting properties (Article 57(f) - environment)","20-Jun-2013","https://echa.europa.eu/documents/10162/90d219f2-cd83-4e2b-bb9e-3ed6d5ff91bf",""
"Nonylphenol, ethoxylated (10-EO)","","-","9016-45-9","Endocrine disrupting properties (Article 57(f) - environment)","20-Jun-2013","https://echa.europa.eu/documents/10162/90d219f2-cd83-4e2b-bb9e-3ed6d5ff91bf",""
"Nonylphenol, ethoxylated (15-EO)","","-","9016-45-9","Endocrine disrupting properties (Article 57(f) - environment)","20-Jun-2013","https://echa.europa.eu/documents/10162/90d219f2-cd83-4e2b-bb9e-3ed6d5ff91bf",""
"Poly (oxy-1,2-ethanediyl), alpha -(nonylphenyl)-omega-hydroxy-, branched","","-","68412-54-4","Endocrine disrupting properties (Article 57(f) - environment)","20-Jun-2013","https://echa.europa.eu/documents/10162/90d219f2-cd83-4e2b-bb9e-3ed6d5ff91bf",""
"Poly(oxy-1,2-ethanediyl), α-(nonylphenyl)-ω-hydroxy-, branched","","-","68412-54-4","Endocrine disrupting properties (Article 57(f) - environment)","20-Jun-2013","https://echa.europa.eu/documents/10162/90d219f2-cd83-4e2b-bb9e-3ed6d5ff91bf",""
"Trilead dioxide phosphonate","","235-252-2","12141-20-7","Toxic for reproduction (Article 57c)","19-Dec-2012","https://echa.europa.eu/documents/10162/57804b85-bfe3-4fb3-ba6e-85681ae9a946",""
"Trilead bis(carbonate) dihydroxide","","215-290-6","1319-46-6","Toxic for reproduction (Article 57c)","19-Dec-2012","https://echa.europa.eu/documents/10162/e8388e88-796e-48d6-b857-92e1de8cba7b",""
"Tricosafluorododecanoic acid","","206-203-2","307-55-1","vPvB (Article 57e)","19-Dec-2012","https://echa.europa.eu/documents/10162/10982bb6-eb4f-4b49-8ae2-934e051c4227",""
"Tetralead trioxide sulphate","","235-380-9","12202-17-4","Toxic for reproduction (Article 57c)","19-Dec-2012","https://echa.europa.eu/documents/10162/08f78ab7-6708-418d-ab77-adf1100ab429",""
"Tetraethyllead","","201-075-4","78-00-2","Toxic for reproduction (Article 57c)","19-Dec-2012","https://echa.europa.eu/documents/10162/118d71ba-5734-45ac-9dfe-ab74edca7803",""
"Sulfurous acid, lead salt, dibasic","","263-467-1","62229-08-7","Toxic for reproduction (Article 57c)","19-Dec-2012","https://echa.europa.eu/documents/10162/44b75647-0300-4836-a312-f11ba9574ece",""
"Silicic acid, lead salt","","234-363-3","11120-22-2","Toxic for reproduction (Article 57c)","19-Dec-2012","https://echa.europa.eu/documents/10162/8a921407-3b0f-471a-a684-131dfba77523",""
"Silicic acid (H2Si2O5), barium salt (1:1), lead-doped","with lead (Pb) content above the applicable generic concentration limit for ’toxicity for reproduction’ Repr. 1A (CLP) or category 1 (DSD),the substance is a member of the group entry of lead compounds, with index number 082-001-00-6 in Regulation (EC) No 1272/2008","272-271-5","68784-75-8","Toxic for reproduction (Article 57c)","19-Dec-2012","https://echa.europa.eu/documents/10162/d0de0c48-5768-4589-8dd4-dbcafce8e7dd",""
"Pyrochlore, antimony lead yellow","-","232-382-1","8012-00-8","Toxic for reproduction (Article 57c)","19-Dec-2012","https://echa.europa.eu/documents/10162/3da568db-d1e1-4082-b0c7-78246ccb1489",""
"Pentalead tetraoxide sulphate","","235-067-7","12065-90-6","Toxic for reproduction (Article 57c)","19-Dec-2012","https://echa.europa.eu/documents/10162/adc19a74-9ef0-4920-93c5-0b25d600b8c4",""
"Pentacosafluorotridecanoic acid","","276-745-2","72629-94-8","vPvB (Article 57e)","19-Dec-2012","https://echa.europa.eu/documents/10162/111dde32-185d-4e50-9112-5c1c019b920a",""
"Orange lead (lead tetroxide)","","215-235-6","1314-41-6","Toxic for reproduction (Article 57c)","19-Dec-2012","https://echa.europa.eu/documents/10162/aab36e2a-90e2-46b0-b940-07e4cf119f05",""
"o-toluidine","","202-429-0","95-53-4","Carcinogenic (Article 57a)","19-Dec-2012","https://echa.europa.eu/documents/10162/c4e9db39-8285-48d9-87b3-29c15c861802",""
"o-aminoazotoluene","","202-591-2","97-56-3","Carcinogenic (Article 57a)","19-Dec-2012","https://echa.europa.eu/documents/10162/d1a365c6-34d1-4fda-81c7-09c7f4b07a77",""
"n-pentyl-isopentyl phthalate","","-","776297-69-9","Toxic for reproduction (Article 57c)","19-Dec-2012","https://echa.europa.eu/documents/10162/c33869fc-43f1-44c2-812f-0c6ad82104c6",""
"N-methylacetamide","","201-182-6","79-16-3","Toxic for reproduction (Article 57c)","19-Dec-2012","https://echa.europa.eu/documents/10162/cd5a3079-1069-4f2f-815c-a628714f76a7",""
"N,N-dimethylformamide","","200-679-5","68-12-2","Toxic for reproduction (Article 57c)","19-Dec-2012","https://echa.europa.eu/documents/10162/e3a1814f-6a8c-4c02-858e-74f98d525824",""
"Methyloxirane (Propylene oxide)","","200-879-2","75-56-9","Carcinogenic (Article 57a)""""Mutagenic (Article 57b)","19-Dec-2012","https://echa.europa.eu/documents/10162/38636e85-49ef-4b37-890c-65ba488e7521",""
"Methoxyacetic acid","","210-894-6","625-45-6","Toxic for reproduction (Article 57c)","19-Dec-2012","https://echa.europa.eu/documents/10162/2a9e3fcd-2243-4357-b837-9532235a307f",""
"Lead titanium zirconium oxide","","235-727-4","12626-81-2","Toxic for reproduction (Article 57c)","19-Dec-2012","https://echa.europa.eu/documents/10162/b655b355-0ced-4795-a2d2-76c912c7acca",""
"Lead titanium trioxide","","235-038-9","12060-00-3","Toxic for reproduction (Article 57c)","19-Dec-2012","https://echa.europa.eu/documents/10162/d69baa79-6ed9-4c3e-9aed-584577c19696",""
"Lead oxide sulfate","","234-853-7","12036-76-9","Toxic for reproduction (Article 57c)","19-Dec-2012","https://echa.europa.eu/documents/10162/50822d59-490c-4e01-88c3-c8ff8d2d389a",""
"Lead monoxide (lead oxide)","","215-267-0","1317-36-8","Toxic for reproduction (Article 57c)","19-Dec-2012","https://echa.europa.eu/documents/10162/86c143a2-eb69-44bd-9710-73ab2aca57fc",""
"Lead dinitrate","","233-245-9","10099-74-8","Toxic for reproduction (Article 57c)","19-Dec-2012","https://echa.europa.eu/documents/10162/97c17507-b6bc-42d7-8aac-59c0c0e9c21b",""
"Lead cyanamidate","","244-073-9","20837-86-9","Toxic for reproduction (Article 57c)","19-Dec-2012","https://echa.europa.eu/documents/10162/0225706b-6dbf-4b6f-94f8-fa3e8fc24ff6",""
"Lead bis(tetrafluoroborate)","","237-486-0","13814-96-5","Toxic for reproduction (Article 57c)","19-Dec-2012","https://echa.europa.eu/documents/10162/0d9b7449-9ec1-4c1e-a117-294cccc4aa9d",""
"Hexahydromethylphthalic anhydride","including cis- and trans- stereo isomeric forms and all possible combinations of the isomers","-","-","Respiratory sensitising properties (Article 57(f) - human health)","19-Dec-2012","https://echa.europa.eu/documents/10162/bd282c4d-91b6-4537-9f27-b65a5fccbd48""""https://echa.europa.eu/documents/10162/670b8e64-298e-4ed7-939f-67da04164a42""""https://echa.europa.eu/documents/10162/7e96ce49-1e77-4333-8e0e-35892531aa5c""""https://echa.europa.eu/documents/10162/081b759a-1aae-42d9-9f62-4051fb9187bc",""
"Hexahydro-1-methylphthalic anhydride","","256-356-4","48122-14-1","Respiratory sensitising properties (Article 57(f) - human health)","19-Dec-2012","https://echa.europa.eu/documents/10162/bd282c4d-91b6-4537-9f27-b65a5fccbd48""""https://echa.europa.eu/documents/10162/670b8e64-298e-4ed7-939f-67da04164a42""""https://echa.europa.eu/documents/10162/7e96ce49-1e77-4333-8e0e-35892531aa5c""""https://echa.europa.eu/documents/10162/081b759a-1aae-42d9-9f62-4051fb9187bc",""
"Hexahydromethylphthalic anhydride","","247-094-1","25550-51-0","Respiratory sensitising properties (Article 57(f) - human health)","19-Dec-2012","https://echa.europa.eu/documents/10162/bd282c4d-91b6-4537-9f27-b65a5fccbd48""""https://echa.europa.eu/documents/10162/670b8e64-298e-4ed7-939f-67da04164a42""""https://echa.europa.eu/documents/10162/7e96ce49-1e77-4333-8e0e-35892531aa5c""""https://echa.europa.eu/documents/10162/081b759a-1aae-42d9-9f62-4051fb9187bc",""
"Hexahydro-4-methylphthalic anhydride","","243-072-0","19438-60-9","Respiratory sensitising properties (Article 57(f) - human health)","19-Dec-2012","https://echa.europa.eu/documents/10162/bd282c4d-91b6-4537-9f27-b65a5fccbd48""""https://echa.europa.eu/documents/10162/670b8e64-298e-4ed7-939f-67da04164a42""""https://echa.europa.eu/documents/10162/7e96ce49-1e77-4333-8e0e-35892531aa5c""""https://echa.europa.eu/documents/10162/081b759a-1aae-42d9-9f62-4051fb9187bc",""
